REVIEW_TYPE,ASSET_ID,REASON,OUTPUT,STATUS_NOTE
OCR_REVIEW,HFM-A000673,page 1 low OCR chars=57,corpus/raw-ocr/HFM-A000673_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000675,page 1 low OCR chars=56,corpus/raw-ocr/HFM-A000675_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000677,page 5 low OCR chars=18,corpus/raw-ocr/HFM-A000677_p005_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000686,page 1 low OCR chars=2,corpus/raw-ocr/HFM-A000686_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000686,page 2 low OCR chars=0,corpus/raw-ocr/HFM-A000686_p002_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000686,page 3 low OCR chars=0,corpus/raw-ocr/HFM-A000686_p003_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000686,page 4 low OCR chars=0,corpus/raw-ocr/HFM-A000686_p004_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000686,page 5 low OCR chars=0,corpus/raw-ocr/HFM-A000686_p005_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000686,page 6 low OCR chars=0,corpus/raw-ocr/HFM-A000686_p006_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 1 low OCR chars=37,corpus/raw-ocr/HFM-A000689_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 2 low OCR chars=7,corpus/raw-ocr/HFM-A000689_p002_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 3 low OCR chars=0,corpus/raw-ocr/HFM-A000689_p003_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 4 low OCR chars=39,corpus/raw-ocr/HFM-A000689_p004_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 5 low OCR chars=8,corpus/raw-ocr/HFM-A000689_p005_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 6 low OCR chars=10,corpus/raw-ocr/HFM-A000689_p006_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 7 low OCR chars=10,corpus/raw-ocr/HFM-A000689_p007_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 8 low OCR chars=22,corpus/raw-ocr/HFM-A000689_p008_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000689,page 9 low OCR chars=0,corpus/raw-ocr/HFM-A000689_p009_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000416,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000416_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000418,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000418_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000420,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000420_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000421,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000421_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000428,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000428_p* x2,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000490,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000490_p* x2,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000491,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000491_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000492,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000492_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000497,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000497_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000498,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000498_p* x2,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000502,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000502_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000504,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000504_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000505,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000505_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000507,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000507_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000508,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000508_p* x2,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000509,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000509_p* x2,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000510,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000510_p* x2,FULL_OCR_PENDING
