ASSET_ID,SOURCE_PATH,REASON
HFM-A000668,非遗佐证/06 媒体报道/1、协助中央广播电视台华语环球节目纪录片部拍摄《杏林繁华》工作方案.pdf,B_OCR_no_text
HFM-A000669,非遗佐证/06 媒体报道/2、央视《魅力中国城》栏目参与证明材料.pdf,B_OCR_no_text
HFM-A000670,非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/崆峒区.pdf,B_OCR_no_text
HFM-A000671,非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/灵台县.pdf,B_OCR_no_text
HFM-A000672,非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/甘肃卫视.pdf,B_OCR_no_text
HFM-A000673,非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/甘肃卫视等栏目宣传报道截图或链接.pdf,B_OCR_no_text
HFM-A000674,非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/静宁县.pdf,B_OCR_no_text
HFM-A000675,非遗佐证/06 媒体报道/4、2025年4月25日中央电视台《中国中医药大会》（第二季）《陇脉医承》栏目播出截图或视频链接证明/中央电视台拍摄函.pdf,B_OCR_no_text
HFM-A000676,非遗佐证/06 媒体报道/4、2025年4月25日中央电视台《中国中医药大会》（第二季）《陇脉医承》栏目播出截图或视频链接证明/央视图片证明材料.pdf,B_OCR_no_text
HFM-A000677,非遗佐证/07 带徒传技与工作室成果/1、“刘君奇名中医工作室”成立及运行相关证明材料（崆峒区中医医院）.pdf,B_OCR_no_text
HFM-A000678,非遗佐证/07 带徒传技与工作室成果/2、“刘君奇中医工作室”相关证明材料（灵台县皇甫谧中医院）.pdf,B_OCR_no_text
HFM-A000685,非遗佐证/08申报单位资质/1、甘肃医学院事业单位法人证书复印件.pdf,B_OCR_no_text
HFM-A000686,非遗佐证/08申报单位资质/2、不动产证明.pdf,B_OCR_no_text
HFM-A000687,非遗佐证/09职业技能等级认定资质/1、甘肃医学院 职业技能等级认定机构备案信息采集表、认定函、承诺书.pdf,B_OCR_no_text
HFM-A000688,非遗佐证/09职业技能等级认定资质/2、职业技能等级认定考评员名单.pdf,B_OCR_no_text
